# Pressure coefficient results from CFL3D, Re_H=36,000, SST model
# Cp values have been shifted so that Cp is close to 0 near x/H=40
x,cp
 1.895799994E+00, -2.071000040E-01
 1.916700006E+00, -2.072699964E-01
 1.937500000E+00, -2.074299753E-01
 1.958299994E+00, -2.075800002E-01
 1.979200006E+00, -2.077200115E-01
 2.000000000E+00, -2.078500092E-01
 2.020800114E+00, -2.079699934E-01
 2.041699886E+00, -2.080800235E-01
 2.062500000E+00, -2.081799805E-01
 2.083300114E+00, -2.082799971E-01
 2.104199886E+00, -2.083599865E-01
 2.125000000E+00, -2.084200084E-01
 2.145800114E+00, -2.084899843E-01
 2.166699886E+00, -2.085299790E-01
 2.187500000E+00, -2.085699737E-01
 2.208300114E+00, -2.086000144E-01
 2.229199886E+00, -2.086100280E-01
 2.250000000E+00, -2.086100280E-01
 2.270800114E+00, -2.086000144E-01
 2.291699886E+00, -2.085799873E-01
 2.312500000E+00, -2.085500062E-01
 2.333300114E+00, -2.085100114E-01
 2.354199886E+00, -2.084499896E-01
 2.375000000E+00, -2.083800137E-01
 2.395800114E+00, -2.083000243E-01
 2.416699886E+00, -2.082000077E-01
 2.437500000E+00, -2.080899775E-01
 2.458300114E+00, -2.079699934E-01
 2.479199886E+00, -2.078299820E-01
 2.500000000E+00, -2.076900303E-01
 2.520800114E+00, -2.075299919E-01
 2.541699886E+00, -2.073399723E-01
 2.562500000E+00, -2.071600258E-01
 2.583300114E+00, -2.069499791E-01
 2.604199886E+00, -2.067299783E-01
 2.625000000E+00, -2.065000236E-01
 2.645800114E+00, -2.062499821E-01
 2.666699886E+00, -2.059899867E-01
 2.687500000E+00, -2.057199776E-01
 2.708300114E+00, -2.054300010E-01
 2.729199886E+00, -2.051300108E-01
 2.750000000E+00, -2.048099935E-01
 2.770800114E+00, -2.044599950E-01
 2.791699886E+00, -2.041099966E-01
 2.812500000E+00, -2.037499845E-01
 2.833300114E+00, -2.033599913E-01
 2.854199886E+00, -2.029599845E-01
 2.875000000E+00, -2.025599778E-01
 2.895800114E+00, -2.021299899E-01
 2.916699886E+00, -2.016799748E-01
 2.937500000E+00, -2.012200058E-01
 2.958300114E+00, -2.007400095E-01
 2.979199886E+00, -2.002399862E-01
 3.000000000E+00, -1.997300088E-01
 3.020800114E+00, -1.992000043E-01
 3.041699886E+00, -1.986599863E-01
 3.062500000E+00, -1.981000006E-01
 3.083300114E+00, -1.975199878E-01
 3.104199886E+00, -1.969300210E-01
 3.125000000E+00, -1.963200271E-01
 3.145800114E+00, -1.956900060E-01
 3.166699886E+00, -1.950500309E-01
 3.187500000E+00, -1.943900287E-01
 3.208300114E+00, -1.936999857E-01
 3.229199886E+00, -1.929999888E-01
 3.250000000E+00, -1.922899783E-01
 3.270800114E+00, -1.915600002E-01
 3.291699886E+00, -1.908099949E-01
 3.312500000E+00, -1.900499761E-01
 3.333300114E+00, -1.892699897E-01
 3.354199886E+00, -1.884699762E-01
 3.375000000E+00, -1.876600087E-01
 3.395800114E+00, -1.868200004E-01
 3.416699886E+00, -1.859699786E-01
 3.437500000E+00, -1.850999892E-01
 3.458300114E+00, -1.842199862E-01
 3.479199886E+00, -1.833200157E-01
 3.500000000E+00, -1.824000180E-01
 3.520800114E+00, -1.814700067E-01
 3.541699886E+00, -1.805299819E-01
 3.562500000E+00, -1.795599759E-01
 3.583300114E+00, -1.785800159E-01
 3.604199886E+00, -1.775800288E-01
 3.625000000E+00, -1.765700281E-01
 3.645800114E+00, -1.755299866E-01
 3.666699886E+00, -1.744900048E-01
 3.687500000E+00, -1.734299958E-01
 3.708300114E+00, -1.723599732E-01
 3.729199886E+00, -1.712699831E-01
 3.750000000E+00, -1.701600254E-01
 3.770800114E+00, -1.690500081E-01
 3.791699886E+00, -1.679200232E-01
 3.812500000E+00, -1.667700112E-01
 3.833300114E+00, -1.656099856E-01
 3.854199886E+00, -1.644400060E-01
 3.875000000E+00, -1.632499993E-01
 3.895800114E+00, -1.620499790E-01
 3.916699886E+00, -1.608400047E-01
 3.937500000E+00, -1.596200168E-01
 3.958300114E+00, -1.583800018E-01
 3.979199886E+00, -1.571299732E-01
 4.000000000E+00, -1.558699906E-01
 4.020800114E+00, -1.546100080E-01
 4.041699886E+00, -1.533299983E-01
 4.062500000E+00, -1.520399749E-01
 4.083300114E+00, -1.507399976E-01
 4.104199886E+00, -1.494300067E-01
 4.125000000E+00, -1.480999887E-01
 4.145800114E+00, -1.467700303E-01
 4.166699886E+00, -1.454299986E-01
 4.187500000E+00, -1.440900266E-01
 4.208300114E+00, -1.427300274E-01
 4.229199886E+00, -1.413700283E-01
 4.250000000E+00, -1.400000155E-01
 4.270800114E+00, -1.386199892E-01
 4.291699886E+00, -1.372300088E-01
 4.312500000E+00, -1.358400285E-01
 4.333300114E+00, -1.344499886E-01
 4.354199886E+00, -1.330399811E-01
 4.375000000E+00, -1.316399872E-01
 4.395800114E+00, -1.302200258E-01
 4.416699886E+00, -1.288000047E-01
 4.437500000E+00, -1.273799837E-01
 4.458300114E+00, -1.259600222E-01
 4.479199886E+00, -1.245199740E-01
 4.500000000E+00, -1.230899990E-01
 4.520800114E+00, -1.216600239E-01
 4.541699886E+00, -1.202100217E-01
 4.562500000E+00, -1.187699735E-01
 4.583300114E+00, -1.173299849E-01
 4.604199886E+00, -1.158899963E-01
 4.625000000E+00, -1.144399941E-01
 4.645800114E+00, -1.129899919E-01
 4.666699886E+00, -1.115399897E-01
 4.687500000E+00, -1.100899875E-01
 4.708300114E+00, -1.086499989E-01
 4.729199886E+00, -1.071999967E-01
 4.750000000E+00, -1.057499945E-01
 4.770800114E+00, -1.042999923E-01
 4.791699886E+00, -1.028600037E-01
 4.812500000E+00, -1.014100015E-01
 4.833300114E+00, -9.997001290E-02
 4.854199886E+00, -9.853997827E-02
 4.875000000E+00, -9.709998965E-02
 4.895800114E+00, -9.567001462E-02
 4.916699886E+00, -9.423997998E-02
 4.937500000E+00, -9.281000495E-02
 4.958300114E+00, -9.138998389E-02
 4.979199886E+00, -8.997002244E-02
 5.000000000E+00, -8.855000138E-02
 5.020800114E+00, -8.713999391E-02
 5.041699886E+00, -8.572998643E-02
 5.062500000E+00, -8.434000611E-02
 5.083300114E+00, -8.294001222E-02
 5.104199886E+00, -8.154997230E-02
 5.125000000E+00, -8.017000556E-02
 5.145800114E+00, -7.878997922E-02
 5.166699886E+00, -7.742002606E-02
 5.187500000E+00, -7.605001330E-02
 5.208300114E+00, -7.469001412E-02
 5.229199886E+00, -7.334002852E-02
 5.250000000E+00, -7.199999690E-02
 5.270800114E+00, -7.066002488E-02
 5.291699886E+00, -6.933000684E-02
 5.312500000E+00, -6.801000237E-02
 5.333300114E+00, -6.668999791E-02
 5.354199886E+00, -6.538000703E-02
 5.375000000E+00, -6.408998370E-02
 5.395800114E+00, -6.280001998E-02
 5.416699886E+00, -6.150999665E-02
 5.437500000E+00, -6.025001407E-02
 5.458300114E+00, -5.898001790E-02
 5.479199886E+00, -5.771997571E-02
 5.500000000E+00, -5.648002028E-02
 5.520800114E+00, -5.524000525E-02
 5.541699886E+00, -5.401000381E-02
 5.562500000E+00, -5.280002952E-02
 5.583300114E+00, -5.158999562E-02
 5.604199886E+00, -5.038997531E-02
 5.625000000E+00, -4.920002818E-02
 5.645800114E+00, -4.801997542E-02
 5.666699886E+00, -4.684999585E-02
 5.687500000E+00, -4.569002986E-02
 5.708300114E+00, -4.454001784E-02
 5.729199886E+00, -4.340001941E-02
 5.750000000E+00, -4.226997495E-02
 5.770800114E+00, -4.116001725E-02
 5.791699886E+00, -4.004999995E-02
 5.812500000E+00, -3.896000981E-02
 5.833300114E+00, -3.787001967E-02
 5.854199886E+00, -3.679999709E-02
 5.875000000E+00, -3.572997451E-02
