# Turbulence results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
# Note: extraction at x/H=-4 was at nearest cell-center
x,y,uv
-3.953960419E+00, 8.937800407E+00, 1.350237755E-03
-3.953960419E+00, 8.941753387E+00, 1.348246471E-03
-3.953960419E+00, 8.945466042E+00, 1.345793135E-03
-3.953960419E+00, 8.948951721E+00, 1.342857606E-03
-3.953960419E+00, 8.952225685E+00, 1.339415670E-03
-3.953960419E+00, 8.955299377E+00, 1.335438341E-03
-3.953960419E+00, 8.958185196E+00, 1.330891508E-03
-3.953960419E+00, 8.960895538E+00, 1.325734891E-03
-3.953960419E+00, 8.963439941E+00, 1.319921459E-03
-3.953960419E+00, 8.965827942E+00, 1.313396264E-03
-3.953960419E+00, 8.968070030E+00, 1.306095859E-03
-3.953960419E+00, 8.970174789E+00, 1.297946670E-03
-3.953960419E+00, 8.972150803E+00, 1.288863365E-03
-3.953960419E+00, 8.974005699E+00, 1.278747455E-03
-3.953960419E+00, 8.975747108E+00, 1.267485088E-03
-3.953960419E+00, 8.977380753E+00, 1.254944829E-03
-3.953960419E+00, 8.978915215E+00, 1.240974874E-03
-3.953960419E+00, 8.980354309E+00, 1.225399901E-03
-3.953960419E+00, 8.981705666E+00, 1.208017697E-03
-3.953960419E+00, 8.982974052E+00, 1.188595430E-03
-3.953960419E+00, 8.984163284E+00, 1.167403767E-03
-3.953960419E+00, 8.985280991E+00, 1.142620109E-03
-3.953960419E+00, 8.986329079E+00, 1.113548991E-03
-3.953960419E+00, 8.987312317E+00, 1.081116381E-03
-3.953960419E+00, 8.988235474E+00, 1.044902368E-03
-3.953960419E+00, 8.989102364E+00, 1.004501362E-03
-3.953960419E+00, 8.989914894E+00, 9.595343727E-04
-3.953960419E+00, 8.990677834E+00, 9.097103029E-04
-3.953960419E+00, 8.991394043E+00, 8.548367186E-04
-3.953960419E+00, 8.992066383E+00, 7.948840503E-04
-3.953960419E+00, 8.992696762E+00, 7.300191792E-04
-3.953960419E+00, 8.993288040E+00, 6.562774652E-04
-3.953960419E+00, 8.993843079E+00, 5.744481459E-04
-3.953960419E+00, 8.994363785E+00, 4.882343928E-04
-3.953960419E+00, 8.994853020E+00, 4.000026383E-04
-3.953960419E+00, 8.995311737E+00, 3.136535815E-04
-3.953960419E+00, 8.995741844E+00, 2.338012564E-04
-3.953960419E+00, 8.996146202E+00, 1.647737372E-04
-3.953960419E+00, 8.996524811E+00, 1.094233157E-04
-3.953960419E+00, 8.996880531E+00, 6.838863192E-05
-3.953960419E+00, 8.997214317E+00, 4.023440852E-05
-3.953960419E+00, 8.997527122E+00, 2.228862468E-05
-3.953960419E+00, 8.997820854E+00, 1.161377622E-05
-3.953960419E+00, 8.998096466E+00, 5.670162864E-06
-3.953960419E+00, 8.998354912E+00, 2.573271104E-06
-3.953960419E+00, 8.998598099E+00, 1.070705821E-06
-3.953960419E+00, 8.998825073E+00, 3.995129418E-07
-3.953960419E+00, 8.999038696E+00, 1.290387956E-07
-3.953960419E+00, 8.999238968E+00, 3.403984650E-08
-3.953960419E+00, 8.999427795E+00, 6.622856485E-09
-3.953960419E+00, 8.999604225E+00, 7.802781199E-10
-3.953960419E+00, 8.999769211E+00, 3.606610496E-11
-3.953960419E+00, 8.999924660E+00, 2.240183543E-13
 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
 1.000000000E+00, 1.500749349E-04, -5.838613987E-17
 1.000000000E+00, 3.087310179E-04, -1.277677521E-15
 1.000000000E+00, 4.765522899E-04, -1.126884502E-14
 1.000000000E+00, 6.541581242E-04, -6.015381335E-14
 1.000000000E+00, 8.422057144E-04, -2.342687947E-13
 1.000000000E+00, 1.041392214E-03, -7.371873294E-13
 1.000000000E+00, 1.252457150E-03, -1.992525502E-12
 1.000000000E+00, 1.476185862E-03, -4.809542521E-12
 1.000000000E+00, 1.713411068E-03, -1.064111299E-11
 1.000000000E+00, 1.965016825E-03, -2.197491668E-11
 1.000000000E+00, 2.231941791E-03, -4.291302730E-11
 1.000000000E+00, 2.515181201E-03, -8.001252438E-11
 1.000000000E+00, 2.815792104E-03, -1.434811020E-10
 1.000000000E+00, 3.134895815E-03, -2.488432793E-10
 1.000000000E+00, 3.473682096E-03, -4.192147185E-10
 1.000000000E+00, 3.833413823E-03, -6.883359993E-10
 1.000000000E+00, 4.215430468E-03, -1.104508374E-09
 1.000000000E+00, 4.621152766E-03, -1.735526833E-09
 1.000000000E+00, 5.052087829E-03, -2.674576560E-09
 1.000000000E+00, 5.509833805E-03, -4.046784241E-09
 1.000000000E+00, 5.996085238E-03, -6.015588028E-09
 1.000000000E+00, 6.512639113E-03, -8.787140793E-09
 1.000000000E+00, 7.061398588E-03, -1.260929050E-08
 1.000000000E+00, 7.644380908E-03, -1.775890901E-08
 1.000000000E+00, 8.263722993E-03, -2.450661896E-08
 1.000000000E+00, 8.921687491E-03, -3.304057117E-08
 1.000000000E+00, 9.620669298E-03, -4.331910475E-08
 1.000000000E+00, 1.036320440E-02, -5.480430332E-08
 1.000000000E+00, 1.115197316E-02, -6.600295421E-08
 1.000000000E+00, 1.198981050E-02, -7.370798016E-08
 1.000000000E+00, 1.287971530E-02, -7.179702521E-08
 1.000000000E+00, 1.382485218E-02, -4.942301146E-08
 1.000000000E+00, 1.482856460E-02, 1.153453333E-08
 1.000000000E+00, 1.589438133E-02, 1.397223883E-07
 1.000000000E+00, 1.702602394E-02, 3.778367272E-07
 1.000000000E+00, 1.822741330E-02, 7.852992212E-07
 1.000000000E+00, 1.950268447E-02, 1.438184313E-06
 1.000000000E+00, 2.085618302E-02, 2.424186277E-06
 1.000000000E+00, 2.229248732E-02, 3.831517006E-06
 1.000000000E+00, 2.381640300E-02, 5.733409125E-06
 1.000000000E+00, 2.543297783E-02, 8.173246897E-06
 1.000000000E+00, 2.714750916E-02, 1.115634768E-05
 1.000000000E+00, 2.896554396E-02, 1.465160221E-05
 1.000000000E+00, 3.089288995E-02, 1.860120392E-05
 1.000000000E+00, 3.293561935E-02, 2.293314355E-05
 1.000000000E+00, 3.510007635E-02, 2.757163747E-05
 1.000000000E+00, 3.739286959E-02, 3.244343679E-05
 1.000000000E+00, 3.982088342E-02, 3.748039308E-05
 1.000000000E+00, 4.239127785E-02, 4.261951108E-05
 1.000000000E+00, 4.511147365E-02, 4.780165182E-05
 1.000000000E+00, 4.798916727E-02, 5.296986274E-05
 1.000000000E+00, 5.103230849E-02, 5.806786430E-05
 1.000000000E+00, 5.424910039E-02, 6.303892587E-05
 1.000000000E+00, 5.764798820E-02, 6.782510900E-05
 1.000000000E+00, 6.123762950E-02, 7.236688543E-05
 1.000000000E+00, 6.502689421E-02, 7.660265692E-05
 1.000000000E+00, 6.902483106E-02, 8.046862786E-05
 1.000000000E+00, 7.324063778E-02, 8.389975119E-05
 1.000000000E+00, 7.768364996E-02, 8.683015767E-05
 1.000000000E+00, 8.236327022E-02, 8.919343236E-05
 1.000000000E+00, 8.728893846E-02, 9.092415712E-05
 1.000000000E+00, 9.247011691E-02, 9.195936582E-05
 1.000000000E+00, 9.791619331E-02, 9.224042878E-05
 1.000000000E+00, 1.036364213E-01, 9.171519196E-05
 1.000000000E+00, 1.096399054E-01, 9.034019604E-05
 1.000000000E+00, 1.159354597E-01, 8.808288112E-05
 1.000000000E+00, 1.225315928E-01, 8.492337656E-05
 1.000000000E+00, 1.294363886E-01, 8.085581067E-05
 1.000000000E+00, 1.366574168E-01, 7.588875451E-05
 1.000000000E+00, 1.442016512E-01, 7.004477811E-05
 1.000000000E+00, 1.520753801E-01, 6.335899525E-05
 1.000000000E+00, 1.602840871E-01, 5.587684427E-05
 1.000000000E+00, 1.688323319E-01, 4.765120684E-05
 1.000000000E+00, 1.777237058E-01, 3.873921378E-05
 1.000000000E+00, 1.869606376E-01, 2.919925828E-05
 1.000000000E+00, 1.965443641E-01, 1.908827289E-05
 1.000000000E+00, 2.064747959E-01, 8.459825040E-06
 1.000000000E+00, 2.167504281E-01, -2.636988256E-06
 1.000000000E+00, 2.273682207E-01, -1.415776296E-05
