# Velocity results from CFL3D, Re_H=36,000, SST model
# Note: computed results were quasi-steady
x,y,u
-4.000000000E+00, 8.982359886E+00, 4.453020990E-01
-4.000000000E+00, 8.983587265E+00, 4.354852438E-01
-4.000000000E+00, 8.984740257E+00, 4.253669381E-01
-4.000000000E+00, 8.985821724E+00, 4.149052799E-01
-4.000000000E+00, 8.986836433E+00, 4.040533304E-01
-4.000000000E+00, 8.987789154E+00, 3.927716911E-01
-4.000000000E+00, 8.988682747E+00, 3.810293674E-01
-4.000000000E+00, 8.989521980E+00, 3.687995076E-01
-4.000000000E+00, 8.990308762E+00, 3.560587466E-01
-4.000000000E+00, 8.991047859E+00, 3.427885473E-01
-4.000000000E+00, 8.991741180E+00, 3.289771974E-01
-4.000000000E+00, 8.992391586E+00, 3.146197498E-01
-4.000000000E+00, 8.993001938E+00, 2.997053266E-01
-4.000000000E+00, 8.993574142E+00, 2.842073143E-01
-4.000000000E+00, 8.994112015E+00, 2.681148052E-01
-4.000000000E+00, 8.994616508E+00, 2.514682412E-01
-4.000000000E+00, 8.995089531E+00, 2.343633026E-01
-4.000000000E+00, 8.995533943E+00, 2.169477493E-01
-4.000000000E+00, 8.995950699E+00, 1.994173229E-01
-4.000000000E+00, 8.996341705E+00, 1.819977909E-01
-4.000000000E+00, 8.996707916E+00, 1.649159789E-01
-4.000000000E+00, 8.997052193E+00, 1.483696103E-01
-4.000000000E+00, 8.997375488E+00, 1.325061321E-01
-4.000000000E+00, 8.997678757E+00, 1.174168289E-01
-4.000000000E+00, 8.997962952E+00, 1.031431407E-01
-4.000000000E+00, 8.998229980E+00, 8.968961239E-02
-4.000000000E+00, 8.998479843E+00, 7.703676075E-02
-4.000000000E+00, 8.998715401E+00, 6.515167654E-02
-4.000000000E+00, 8.998935699E+00, 5.399511382E-02
-4.000000000E+00, 8.999142647E+00, 4.352576658E-02
-4.000000000E+00, 8.999336243E+00, 3.370274231E-02
-4.000000000E+00, 8.999518394E+00, 2.448665723E-02
-4.000000000E+00, 8.999689102E+00, 1.584015600E-02
-4.000000000E+00, 8.999849319E+00, 7.728063501E-03
-4.000000000E+00, 9.000000000E+00, 3.799929982E-03
 1.000000000E+00, 0.000000000E+00, 0.000000000E+00
 1.000000000E+00, 1.500749349E-04, 1.588477753E-04
 1.000000000E+00, 3.087310179E-04, 3.228443384E-04
 1.000000000E+00, 4.765522899E-04, 4.944042303E-04
 1.000000000E+00, 6.541581242E-04, 6.738276570E-04
 1.000000000E+00, 8.422057144E-04, 8.614021353E-04
 1.000000000E+00, 1.041392214E-03, 1.057397923E-03
 1.000000000E+00, 1.252457150E-03, 1.262062695E-03
 1.000000000E+00, 1.476185862E-03, 1.475614961E-03
 1.000000000E+00, 1.713411068E-03, 1.698237029E-03
 1.000000000E+00, 1.965016825E-03, 1.930065919E-03
 1.000000000E+00, 2.231941791E-03, 2.171183005E-03
 1.000000000E+00, 2.515181201E-03, 2.421603538E-03
 1.000000000E+00, 2.815792104E-03, 2.681261627E-03
 1.000000000E+00, 3.134895815E-03, 2.949996153E-03
 1.000000000E+00, 3.473682096E-03, 3.227531677E-03
 1.000000000E+00, 3.833413823E-03, 3.513457952E-03
 1.000000000E+00, 4.215430468E-03, 3.807205707E-03
 1.000000000E+00, 4.621152766E-03, 4.108019639E-03
 1.000000000E+00, 5.052087829E-03, 4.414925817E-03
 1.000000000E+00, 5.509833805E-03, 4.726693965E-03
 1.000000000E+00, 5.996085238E-03, 5.041794851E-03
 1.000000000E+00, 6.512639113E-03, 5.358351395E-03
 1.000000000E+00, 7.061398588E-03, 5.674079992E-03
 1.000000000E+00, 7.644380908E-03, 5.986221135E-03
 1.000000000E+00, 8.263722993E-03, 6.291466765E-03
 1.000000000E+00, 8.921687491E-03, 6.585866679E-03
 1.000000000E+00, 9.620669298E-03, 6.864728872E-03
 1.000000000E+00, 1.036320440E-02, 7.122508250E-03
 1.000000000E+00, 1.115197316E-02, 7.352686487E-03
 1.000000000E+00, 1.198981050E-02, 7.547658402E-03
 1.000000000E+00, 1.287971530E-02, 7.698628586E-03
 1.000000000E+00, 1.382485218E-02, 7.795564365E-03
 1.000000000E+00, 1.482856460E-02, 7.827243768E-03
 1.000000000E+00, 1.589438133E-02, 7.781475317E-03
 1.000000000E+00, 1.702602394E-02, 7.645543199E-03
 1.000000000E+00, 1.822741330E-02, 7.406978402E-03
 1.000000000E+00, 1.950268447E-02, 7.054613903E-03
 1.000000000E+00, 2.085618302E-02, 6.579803769E-03
 1.000000000E+00, 2.229248732E-02, 5.977504421E-03
 1.000000000E+00, 2.381640300E-02, 5.246848334E-03
 1.000000000E+00, 2.543297783E-02, 4.390935879E-03
 1.000000000E+00, 2.714750916E-02, 3.415862797E-03
 1.000000000E+00, 2.896554396E-02, 2.329290146E-03
 1.000000000E+00, 3.089288995E-02, 1.139040221E-03
 1.000000000E+00, 3.293561935E-02, -1.479315251E-04
 1.000000000E+00, 3.510007635E-02, -1.526037348E-03
 1.000000000E+00, 3.739286959E-02, -2.991093788E-03
 1.000000000E+00, 3.982088342E-02, -4.540043417E-03
 1.000000000E+00, 4.239127785E-02, -6.170514971E-03
 1.000000000E+00, 4.511147365E-02, -7.880337536E-03
 1.000000000E+00, 4.798916727E-02, -9.667070583E-03
